"prevalence","outcome","relative_change","lo","hi"
1.3096721091071,"All under-5",0.183791774758779,0.122075306707781,0.24554628559319
1.33375541206748,"All under-5",0.198099470951951,0.131575387065541,0.264667751224157
1.35828157815172,"All under-5",0.212672368613376,0.141251088965211,0.284144586302881
1.38325875108275,"All under-5",0.227515422742686,0.151105676354835,0.303983465534796
1.40869522433683,"All under-5",0.242633682378601,0.161142474487552,0.324191191599699
1.4345994438973,"All under-5",0.258032292437749,0.171364871096702,0.344774697701888
1.46098001105905,"All under-5",0.273716495591225,0.181776317594773,0.365741050174329
1.48784568528446,"All under-5",0.2896916341802,0.192380330295827,0.387097451138674
1.51520538711198,"All under-5",0.305963152170974,0.20318049166268,0.408851241222052
1.54306820111807,"All under-5",0.322536597150669,0.214180451578883,0.431009902332313
1.57144337893367,"All under-5",0.33941762236438,0.225383928646061,0.453581060492669
1.60034034231615,"All under-5",0.356611988794819,0.236794711507571,0.476572488737759
1.62976868627775,"All under-5",0.374125567285266,0.248416660198414,0.49999211007199
1.65973818227146,"All under-5",0.391964340706918,0.26025370752254,0.523848000492122
1.69025878143562,"All under-5",0.410134406171747,0.272309860457765,0.548148392075443
1.72134061789811,"All under-5",0.428641977291644,0.284589201589158,0.572901676135107
1.75299401214127,"All under-5",0.44749338648522,0.297095890571164,0.598116406444382
1.78522947442877,"All under-5",0.466695087333124,0.309834165619538,0.623801302531302
1.81805770829547,"All under-5",0.486253656983338,0.322808345033487,0.649965253045814
1.8514896141014,"All under-5",0.506175798607011,0.336022828748539,0.676617319200634
1.88553629265118,"All under-5",0.526468343906794,0.349482099921161,0.703766738288292
1.92020904887996,"All under-5",0.547138255678337,0.363190726545604,0.731422927275638
1.95551939560709,"All under-5",0.568192630426201,0.377153363103688,0.759595486478193
1.99147905735892,"All under-5",0.589638701036033,0.39137475224833,0.78829420331612
